source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
Ethereum,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xabaf75a934e8b4da85db7c79a9e8c5a0022a1660,3.911461 USDT|eth,3911461,0x1b89ae72b96c4f02fa7667ab46febcedf9b495737752176303ddd215d66a615a,0xdd3ff65bfc737d1a6bbc4c5b014f7040c33e3f68f865e69c8e9994323d6ee429,
Ethereum,0x0000000000000000000000000000000000000000,0x3fb9f3fb13c9b1658c243b795c7fcb8b7dd686d2,0.018226640114490682 ETH|eth,18226640114490682,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x4d534b2fe540521819ef6a7c02a497960a60a65fbe0ec0a7003b4c92c60eda48,
Ethereum,0x0000000000000000000000000000000000000000,0xd7a1c535965aa05a422b44c99921371f58807fae,3.68700000000000008 ETH|eth,3687000000000000080,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0xc48e0dfb3dafb1babaa89ec4dc4907a2e0a3b1957175f88ebda7409d62cf2153,
BSC,0x0000000000000000000000000000000000000000,0xd7a1c535965aa05a422b44c99921371f58807fae,6.210000000000000256 BNB|bsc,6210000000000000256,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0xc48e0dfb3dafb1babaa89ec4dc4907a2e0a3b1957175f88ebda7409d62cf2153,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.3 ETH|eth,300000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.5 ETH|eth,500000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.1 ETH|eth,100000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.2 ETH|eth,200000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.2 ETH|eth,200000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.1 ETH|eth,100000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,1.029 ETH|eth,1029000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.3 ETH|eth,300000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.1882 ETH|eth,188200000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.1 ETH|eth,100000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.9 ETH|eth,900000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.1 ETH|eth,100000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.2 ETH|eth,200000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.2 ETH|eth,200000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.01 WBTC|eth,1000000,0x0a2117bce7a84cac80e7c5971919d12987e4da58f79e010c6c2f58c7d6e687e1,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.004 WBTC|eth,400000,0x0a2117bce7a84cac80e7c5971919d12987e4da58f79e010c6c2f58c7d6e687e1,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.7 BNB|bsc,700000000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.0251 BNB|bsc,25100000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.074933980887935183 BNB|bsc,74933980887935183,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,100.0 USDC|eth,100000000,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,1645.594831 USDC|eth,1645594831,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
